Timestamp,Battery_Voltage,Motor_Voltage,Current
2025-01-29T21:17:05.628459,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:05.729038,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:05.829610,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:05.930186,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.030758,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.131322,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.231883,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.332435,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.432991,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.533544,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.634116,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.734679,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.835134,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:06.935673,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.036226,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.136778,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.237352,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.337902,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.438463,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.539022,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.639575,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.740118,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.840672,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:07.941228,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.041790,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.142334,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.242905,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.343469,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.444026,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.544574,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.645132,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.745692,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
2025-01-29T21:17:08.846251,0x1003,48.07,47.97,0.25,False,False,False,False,False,False,False,False,,,,,12 C7 12 BD 00 19 00 00
