timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9
1738237950.3671181,0.0861281,-0.016585998,-0.00046061067,-0.17328566,0.46093315,-0.025905617,0.03672993,0.0685988,-0.02762695,-0.08418603
1738237950.377619,0.05772998,-0.031173483,-0.010531746,-0.13299632,0.5039711,-0.035319094,0.04198741,0.081791796,0.030679304,-0.07634952
1738237950.3883018,0.051458105,-0.06383,-0.032375462,-0.08330269,0.56159914,-0.051574156,0.03736447,0.07367316,0.048973504,-0.06436666
1738237950.399193,0.059356973,-0.13007036,-0.055265777,-0.035447236,0.6195875,-0.089107126,-0.020152189,0.04217755,-0.0399834,-0.009002658
1738237950.4107034,0.11994072,-0.1742142,-0.08943315,-0.041481942,0.74200875,-0.07555133,-0.029997371,0.02080097,-0.16886754,0.07843421
1738237950.4208565,0.12565443,-0.15900931,-0.093174115,-0.064467736,0.81402725,-0.07706825,-0.01754471,0.016633801,-0.24466157,0.01137268
1738237950.4329717,0.12662779,-0.16252325,-0.08540976,-0.084477335,0.7941692,-0.084687024,-0.026964769,-0.013374958,-0.30478525,-0.06869385
1738237950.4438202,0.12551922,-0.1455294,-0.04967236,-0.083820716,0.73783076,-0.115820594,-0.031875096,-0.021565773,-0.368226,-0.15441833
1738237950.453521,0.1276883,-0.1330392,-0.03117994,-0.085217945,0.64142627,-0.13476579,-0.014445335,-0.035977826,-0.44269145,-0.23316605
1738237950.465383,0.14511901,-0.096946694,-0.0057745883,-0.06854997,0.5359654,-0.1672656,-0.019239582,-0.026297456,-0.5056714,-0.30221283
1738237950.4754398,0.17254409,-0.0792904,-0.004377865,-0.055731595,0.437163,-0.17381312,-0.012614943,-0.025368048,-0.54465145,-0.3595014
1738237950.4856744,0.18808185,-0.08421225,-0.014554977,-0.04296223,0.30645403,-0.17802086,-0.049668826,-0.022551714,-0.56145865,-0.3699305
1738237950.4966848,0.1926099,-0.08102441,-0.01572398,-0.039001953,0.20914248,-0.17816578,-0.058152556,-0.013360603,-0.5575583,-0.34652698
